record_id,snapshot_date,segment,source_id,list_position,irc_status_prefixes,display_nickname,raw_line,privacy_classification,civil_identity_linked,sensitive_data_included,normalized_duplicate_count
cb_20021128_0673,2002-11-28,male,canalbarra_cadastros_20021128_male,673,,Moreno_ZS,Moreno_ZS,historical_public_nickname,false,false,1
cb_20021128_0674,2002-11-28,male,canalbarra_cadastros_20021128_male,674,,MorenodoRJ,MorenodoRJ,historical_public_nickname,false,false,1
cb_20021128_0675,2002-11-28,male,canalbarra_cadastros_20021128_male,675,,morenoGATO,morenoGATO,historical_public_nickname,false,false,1
cb_20021128_0676,2002-11-28,male,canalbarra_cadastros_20021128_male,676,,morenosp23,morenosp23,historical_public_nickname,false,false,1
cb_20021128_0677,2002-11-28,male,canalbarra_cadastros_20021128_male,677,,Morgoth,Morgoth,historical_public_nickname,false,false,1
cb_20021128_0678,2002-11-28,male,canalbarra_cadastros_20021128_male,678,,morietti,morietti,historical_public_nickname,false,false,1
cb_20021128_0679,2002-11-28,male,canalbarra_cadastros_20021128_male,679,,MULATOSARADO,MULATOSARADO,historical_public_nickname,false,false,1
cb_20021128_0680,2002-11-28,male,canalbarra_cadastros_20021128_male,680,,Mulder,Mulder,historical_public_nickname,false,false,1
cb_20021128_0681,2002-11-28,male,canalbarra_cadastros_20021128_male,681,,Muniz,Muniz,historical_public_nickname,false,false,1
cb_20021128_0682,2002-11-28,male,canalbarra_cadastros_20021128_male,682,,NANDO-IPANEMA,NANDO-IPANEMA,historical_public_nickname,false,false,1
cb_20021128_0683,2002-11-28,male,canalbarra_cadastros_20021128_male,683,,nao vote em mim,nao vote em mim,historical_public_nickname,false,false,1
cb_20021128_0684,2002-11-28,male,canalbarra_cadastros_20021128_male,684,,Nativo-do-RIO,Nativo-do-RIO,historical_public_nickname,false,false,1
cb_20021128_0685,2002-11-28,male,canalbarra_cadastros_20021128_male,685,,Negro_JPA_RJ,Negro_JPA_RJ,historical_public_nickname,false,false,1
cb_20021128_0686,2002-11-28,male,canalbarra_cadastros_20021128_male,686,,Nelson_Rubens,Nelson_Rubens,historical_public_nickname,false,false,1
cb_20021128_0687,2002-11-28,male,canalbarra_cadastros_20021128_male,687,,NeSkAuZiNhO,NeSkAuZiNhO,historical_public_nickname,false,false,1
cb_20021128_0688,2002-11-28,male,canalbarra_cadastros_20021128_male,688,,Nicky1,Nicky1,historical_public_nickname,false,false,1
